Year	Fire Name	State	Total Acres
2014	Happy Camp Complex (multiple fires)	CA	134,056
2018	Goose Creek	NV	132.200
2016	Soberanes	CA	132,127
2013	Elk Complex (2 fires)	ID	131,258
2012	Chalky (part of Rosebud Creek Complex)            	MT	131,000
2003	Missouri Breaks Complex (4 fires)	MT	130,927
2019	Bearnose Hill	AK	130,768
2006	Parks Hwy	AK	130,186
2013	Village (part of Elk Complex)	ID	129,730
2015	Isahultila	AK	128,617
2017	Diamond Creek	WA	128,272
2011	Pk Complex  (4 fires)	TX	126,734
2009	Nowitna	AK	126,582
2004	Gardiner Creek (part of Taylor Highway Complex)	AK	125,643
1999	Jungo Complex  (3 fires)	NV	125,480
2009	Wood River 1	AK	125,382
2000	Diamond Peak	ID	125,000
2006	Black Pulaski Complex (7 fires)	MT	124,905
2002	Blackjack Bay Complex (3 fires)	GA	124,492
2019	Woodbury	AZ	123,875
2007	Shower Bath Complex (2 fires)	ID	122,600
2011	Swenson	TX	122,500
2016	Hot Pot	NV	122,292
2004	Evansville	AK	122,000
2006	Pine Ridge Complex (3 fires)	MT	121,210
2002	Tool Box Complex (4 fires)	OR	120,085
2004	Willow	AZ	119,500
2006	South End Complex (3 fires)	OR	117,553
2005	Boundary Creek	AK	113,463
2016	Alatna Complex (2 fires)	AK	113,157
2015	Bering Creek (part of Tanana Area Fires)	AK	112,807
2019	Sheep	ID	112,106
2013	Beaver Creek	ID	111,490
2015	Sea	AK	111,193
2011	Indian Creek	NV	110,827
2017	Central LNU Complex (multiple fires)	CA	110,720
2015	Canyon Creek Complex (multiple fires)	OR	110,261
2000	Mule Dry	WA	110,000
2013	West Fork Complex (2 fires)	AK	109,615
2010	Jefferson	ID	109,436
2006	Columbia Complex (7 fires)	OR	109,259
2007	Florida Bugaboo (part of Big Turnaround Complex)	FL	108,574
2006	Amazon	NV	108,564
2003	Simi Incident	CA	108,304
2011	High Cascades	OR	108,154
2018	Spring Creek	CO	108,045
2012	Clay Springs	UT	107,846
2005	Sheenjek River	AK	107,240
2019	Black River	AK	107,078
2001	Survey Line	AK	106,800
2008	Iron & Alps Complexes (3+ complexes)	CA	105,805
2011	Southeast Texas Complex (20 fires)	TX	104,818
2015	Big Mud River 1	AK	103,170
2004	Deer Creek (part of Eagle Complex)	AK	103,092
2008	Dunn Mtn. Assist	MT	102,383
2018	Pole Creek	UT	102,191
2015	Cornet-Windy Ridge	OR	102,089
2007	Rattlesnake	ID	102,000
2011	Donaldson	NM	101,563
2019	North River	AK	101,451
2009	Rex Creek (part of Railbelt Complex)	AK	101,150
2015	Canyon Creek (part of Canyon Creek Complex)	OR	101,028
2006	Bar Complex (2+ fires)	CA	100,414
2018	Boxcar	OR	100,207
