,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
90,2017-12-06 23:16:26,calfund,,0,5,5,"If you're in an area affected by the #fires, get up-to-the-minute info on #evacuations, available #shelters &amp; closures at http://readyventuracounty.org/ &amp; updates from @RedCrossVentura. #ThomasFire #CreekFire #SkirballFire #RyeFire",,,#fires #evacuations #shelters #ThomasFire #CreekFire #SkirballFire #RyeFire,938547710398828544,https://twitter.com/calfund/status/938547710398828544
91,2017-12-06 23:12:25,AmyGrubb91,CAL_FIRE,0,3,7,"Remember winds can spread the fire anywhere, I've seen fires jump freeways with a wind gust. Its critical to be prepared! Know what you cannot live without, its less than you think! Great tips from @CAL_FIRE #ThomasFire #SkirballFire",,@CAL_FIRE,#ThomasFire #SkirballFire,938546700612001792,https://twitter.com/AmyGrubb91/status/938546700612001792
92,2017-12-06 15:36:28,fema,,85,486,991,"We approved Fire Management Assistance Grants for the #ThomasFire, #CreekFire, and #RyeFire to help cover the costs of emergency work in California. Listen to local officials and evacuate if instructed.",,,#ThomasFire #CreekFire #RyeFire,938431957490335745,https://twitter.com/fema/status/938431957490335745
93,2017-12-06 12:04:33,MattKellerABC7,CAL_FIRE,1,4,4,Here are the latest numbers from Cal Fire on the #ThomasFire. We're expecting an update this morning. ,,,#ThomasFire,938378626508079104,https://twitter.com/MattKellerABC7/status/938378626508079104
94,2017-12-06 04:34:24,DirectRelief,,0,7,15,"#ThomasFire https://www.directrelief.org/2017/12/wildfire-rages-in-ventura-county-california-destroying-homes-and-causing-large-scale-evacuations/ – at Ojai, California",,,#ThomasFire,938265340995239936,https://twitter.com/DirectRelief/status/938265340995239936
95,2017-12-06 01:42:34,VCFD_PIO,,18,140,237,"#ThomasFire - New control objectives and management objectives from Cal fire incident management team 4, who have taken command of the incident. #VCFD @VCFD @CAL_FIRE",,@VCFD @CAL_FIRE,#ThomasFire #VCFD,938222101097365504,https://twitter.com/VCFD_PIO/status/938222101097365504
96,2017-12-05 18:59:14,fsbawden,CAL_FIRE,0,1,0,Update from @CAL_FIRE #ThomasFire ,,@CAL_FIRE,#ThomasFire,938120596453457920,https://twitter.com/fsbawden/status/938120596453457920
97,2017-12-05 16:35:06,fema,,99,482,1601,We approved a fire management grant for California to help firefighters battle the #ThomasFire. ,,,#ThomasFire,938084324141883393,https://twitter.com/fema/status/938084324141883393
98,2017-12-05 15:40:01,DirectRelief,,0,1,1,"#ThomasFire destroys 150 structures and scorches 31,000 acres in Ventura County - KEYT https://shar.es/1Mh9j1",,,#ThomasFire,938070461677576192,https://twitter.com/DirectRelief/status/938070461677576192
99,2017-12-05 14:54:07,ChangeSeats,,0,0,0,"RT @SenFeinstein: VENTURA COUNTY: #ThomasFire dangerous and rapidly growing. 31,000 acres burned and 150 structures destroyed. Please heed evacuation warnings and instructions from @Cal_Fire and emergency personnel. Stay safe! https://buff.ly/2iRYWSp",,@SenFeinstein @CAL_FIRE,#ThomasFire,938058910996496390,https://twitter.com/ChangeSeats/status/938058910996496390
100,2017-12-05 14:47:38,SenFeinstein,CAL_FIRE,23,215,250,"VENTURA COUNTY: #ThomasFire dangerous and rapidly growing. 31,000 acres burned and 150 structures destroyed. Please heed evacuation warnings and instructions from @Cal_Fire and emergency personnel. Stay safe!",,@CAL_FIRE,#ThomasFire,938057279382933506,https://twitter.com/SenFeinstein/status/938057279382933506
